taxa	taxid	id_to_catch
Caulobacter	75	76892;75
Sphingomonas	13687	41297;13687
Entirovirga	2026349	2026349
Mesorhizobium	68287	69277;68287
Rhizobium	379	227290;379
Agrobacterium	357	227290;357
Lichenihabitans	2723776	2723776
Lichenibacterium	2714751	2714751
Flavobacterium	237	49546;237
Mucilaginibacter	423349	84566;423349
Spirosoma	107	89373;107
Devosia	46913	2831106;46913
Methylobacterium	407	119045;407
Kaistra	166953	2831111;166953
Fibrella	861914	2896860;861914
Nakamurella	53460	85031;53460
Burkholderia	32008	119060;32008
Pedobacter	84567	84566;84567
Bradyrhizobium	374	41294;374
Bacteroidota	976	68336;976
Pseudomonas	286	135621;286
Azospirillum	191	2829815;191
Deltaproteobacteria	122706	28221;122706
Ginsengibacter	2806031	2806031
Sphingopyxis	37414	3216;37414
Jatrophihabitans	1434010	1434010
Marchantia	3196	29585;3196
Bryopsida	3214	404260;3214
Ceratodon	3224	3223;3224
Lecanoromycetes	147547	147547
